"Knowledge","Interest","Algeria","Argentina","Australia","Belgium","Bosnia.and.Herzegovina","Brazil","Cameroon","Chile","Colombia","Costa.Rica","Croatia","Ecuador","England","France","Germany","Ghana","Greece","Honduras","Iran","Italy","Ivory.Coast","Japan","Mexico","the.Netherlands","Nigeria","Portugal","Russia","South.Korea","Spain","Switzerland","United.States","Uruguay","China","India","Thailand","Turkey","Cuba","Ethiopia","Vietnam","Ireland","Gender","Age","Income","Education","Location","ID"
"Intermediate","Some",,"4","4",,,"4",,,,"4",,,"4","4","4",,"4",,,"5",,"4","2","3",,"3","3",,"4","4","5",,"5","4","4",,"4",,"4","5","Female","> 60",,"Bachelor degree","East South Central",3306459932
"Expert","A lot","4","4","3","5","3","4","3","4","3","3","4","4","3","5","3","3","5","3","4","5","3","5","5","4","3","5","4","5","5","5","4","4","5","5","5","5","4","4","5","4","Male","> 60","$50,000 - $99,999","Bachelor degree","West South Central",3306459814
"Novice","Not much",,,,,,,,,,,,,,,,,,,,"5",,,"4",,,,,,,,"5",,,,,,,,,,"Female","18-29","$50,000 - $99,999","Bachelor degree","West South Central",3306459644
"Intermediate","A lot",,,"3",,,,,,,"3",,"3","3","5","4",,"5",,,"5",,"4","4",,,"4",,"3","5","4","4",,"3","3","4",,"3","3","3","3","Female","> 60","$50,000 - $99,999","Graduate degree","South Atlantic",3306459441
"Intermediate","Some",,,,,,,,,,,,,"2","3","3",,"3",,,"5",,"2","4",,,,,,"4",,"5",,"2","2",,,,,,"2","Female","45-60",,"Bachelor degree","Mountain",3306459091
"Intermediate","A lot",,"3",,,,"3",,"3","3",,,"3","2","2","3","4","3",,"3","3",,"4","3",,"3","3",,"4","5",,"3","3","1","5","5",,"4","5","4","2","Female","30-44",,"Bachelor degree","Pacific",3306458391
"Intermediate","Some",,,,,,"3",,,,,,,"3","3",,,"4",,,"4",,,"5",,,,,"2",,,"2",,"4","5",,,,,,,"Female","18-29","$100,000 - $149,999","High school degree","East North Central",3306457768
"Novice","Some",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3306457692
"Intermediate","Some",,"3","4","3",,"3",,"3","3","3",,"4","5","3","5",,"4",,"2","4",,"4","4","4",,,"3","3","4","4","5",,"5","3",,,"3",,"3","4","Male","> 60","$50,000 - $99,999","Some college or Associate degree","South Atlantic",3306457355
"Intermediate","Not much",,,"3",,,"4",,,,,,,"3","4","4",,"3",,,"5",,"4","5",,,,,,"4",,"4",,"4","2","4",,,,"4","3","Female","18-29","$25,000 - $49,999","Bachelor degree","Pacific",3306457353
"Novice","Not much",,,,,,"3",,,"3","3",,,"3","3","3","2","4","3",,"5",,"2","3",,,"3","3",,"4",,"5",,"3","2",,,"3","2",,"3","Female","45-60","$150,000+","Graduate degree","West North Central",3306456840
"Intermediate","Not much",,,,,,,,,,,,,"3",,,,,,,"4",,"4","4",,,,,,"4",,"4",,"4","3","3",,,,,,"Female","45-60",,"Bachelor degree","Pacific",3306456720
"Intermediate","A lot",,"4",,,,,,,"5","4",,"4","4","4","3",,"4",,,"5",,"5","5",,,,"3",,"4",,"3",,"5","5","4",,"5","5","4","3","Female","18-29","$0 - $24,999","Graduate degree","East North Central",3306456682
"Intermediate","Some",,,,,,"2",,,,,,,"2","4","3",,"3",,,"5",,"4","4",,,"2","2","2","3",,"5",,"4","2","3",,"3",,,"3","Female","> 60","$25,000 - $49,999","Graduate degree","South Atlantic",3306456452
"Intermediate","A lot",,"4","3","3",,"5",,"4","4","4",,"4","3","4","4",,"4",,,"5",,"4","4",,,"3",,"4","5",,"4",,"4","2","5",,"4",,"5","2","Female","18-29",,"Some college or Associate degree","West South Central",3306456065
"Advanced","A lot",,,,,,,,"3",,"3","4",,"3","4","3",,"3","3",,"4",,,"5",,,"3","4",,"4",,"4","4","5","4","3","3","4",,"3","2","Female","> 60","$50,000 - $99,999","High school degree","East South Central",3306455348
"Novice","Some",,,,,,,,"4","1","3",,,"2",,"3",,"4",,,"4",,"5","5",,,,,,,,"5",,"3","4","4",,,"4","3","2","Female","> 60","$50,000 - $99,999","Some college or Associate degree","Pacific",3306455297
"Novice","A lot",,,,,,,,,,,,,,,,,,,,"5",,"5","5",,,,,,,,"5",,"5","5","5",,,,,,"Female","30-44","$150,000+","Some college or Associate degree","East North Central",3306455212
"Advanced","A lot",,"4","3",,,"4",,,,,"4",,"3","5","5",,"5",,,"5",,"4","5","3",,,"3",,"5",,"5",,"5","3","5","5","4","4","4","3","Female","45-60","$100,000 - $149,999","Graduate degree","West North Central",3306455087
"Novice","Not much",,,"3",,,,,,,,,,,"1","2",,"3",,,"5",,"2","4",,,,,,,,"4",,"3",,,,"4",,"1",,"Female","45-60",,"High school degree","Pacific",3306455080
"Intermediate","A lot",,"3",,,,,,"2","4",,,"5",,,,,,,,,,,"4",,,,,,,,"2",,,,"4",,,,,,"Female","18-29","$50,000 - $99,999","Bachelor degree",,3306454853
"Expert","Some",,"5","2","3","4","4","5","2","3","3","1","4","2","5","5","4","4","3",,"1","4","4","2","5",,"3","1","4","5","5","5","3","2","5","4","4","4","1","5","5","Female","30-44",,"Graduate degree","West South Central",3306454843
"Novice","Some",,,"3",,,,,"3",,,,"3","2","3","2",,"2",,,"5",,"3","4",,,,,,"3",,"4",,"4","4","5",,,,"3",,"Female","45-60","$50,000 - $99,999","Some college or Associate degree","Pacific",3306454394
"Intermediate","A lot",,"4",,,,"4",,"4","3","5",,"4",,"3","3",,,"3",,"4",,"3","5",,,"3",,"3","4",,"4","3","4","3","5",,"4",,"4",,"Female","> 60","$25,000 - $49,999","Graduate degree","Pacific",3306454199
"Novice","Not at all",,,,,,,,,,,,,,,,,,,,"5",,,"2",,,,,,,,"2",,"4","3",,,"4",,,,"Female","> 60","$50,000 - $99,999","Some college or Associate degree","South Atlantic",3306454049
"Novice","Some",,,"3",,,"3",,"3",,"4",,"4","4","4","4",,"4",,,"5",,"3","4",,"4","4",,,"4",,"4",,,"4",,,,,"3","3","Male","45-60","$150,000+","Graduate degree","New England",3306453780
"Novice","Some",,"3",,,,"3",,,,,,,"3","5","3",,"4",,,"5",,"4","5",,,,,"3","4","3","3",,"4","3","5",,"4","3","4","3","Female","> 60","$50,000 - $99,999","Graduate degree","Mountain",3306453765
"Novice","Not at all",,,,,,,,,,,,,,"3",,,"3",,,"4",,"2","5",,,,,,"3",,"4",,"1","2","2",,,,"2",,"Female","18-29","$150,000+","Some college or Associate degree","East North Central",3306453514
"Intermediate","A lot",,"3","3","3",,"3",,,,,,,"2","5","4",,"4",,"1","5",,"2","4",,,,"1","3","4","3","4",,"2","3","5",,"3","5",,"2","Female","30-44",,"Graduate degree","East North Central",3306453005
"Novice","Not much",,"3","3","4",,,,,,"3",,,"3","4",,,"5",,,"5",,,"4",,,,,,,,"3",,"3","5","3","4",,,,"3","Female","45-60","$150,000+","High school degree","Middle Atlantic",3306452968
"Novice","Not at all",,,,,,,,,,,,,,"3",,,,,,"5",,,,,,,,,,,"4",,,,,,,,,,"Male","> 60","$25,000 - $49,999","Some college or Associate degree","Pacific",3306452835
"Intermediate","Not much",,"3","3","3",,"3",,"3","3","3",,"3","3","3","3",,"3","3",,"4",,"3","3","3",,"3","3",,"4","3","3","3","3","2","2",,"3","2",,"3","Female","45-60",,"High school degree","Pacific",3306452826
"Novice","Not much",,,,"3",,"4",,,,,,,,"3","3",,"4",,,"5",,"5","5",,,"3",,"4",,,"4",,"5","3","5",,,,"3","3","Female","45-60",,"Graduate degree","Mountain",3306452535
"Intermediate","A lot",,,,,,,,,,,,,,"2",,,"2",,,"5",,"4","5",,,"2",,"3","4",,"5",,"4","4","3",,,,"5","2","Female","30-44","$50,000 - $99,999","Some college or Associate degree","New England",3306452179
"Intermediate","A lot",,"3","3","3",,"3",,,"4",,,,"4","5","4",,"3","3",,"5",,"4","3","4",,"3",,"4","4","3","4",,"5","4","4",,"4",,"4","3","Female","> 60",,"Some college or Associate degree","South Atlantic",3306452078
"Advanced","A lot","3",,,,,,,,,,,,"2","5","2",,"4",,"4","5",,"5","4",,,"3","2","4","3","2","3",,"4","5","4","3","3","3",,"2","Female","> 60","$0 - $24,999","Bachelor degree","Pacific",3306452021
"Advanced","Some","3","4","3","5","2","5","4","3","3","4","3","3",,"1",,"3","3","4","3","4","4","4",,"3","2","3","3","2","2","4","1","3","2","5","4","4","3","1","2","3","Female","18-29","$150,000+","Less than high school degree",,3306451935
"Novice","Not much",,,,,,,,,,,,,,,,,,,,,,,"3",,,,,,,,"5",,,,,,,,,,"Male","> 60","$0 - $24,999","High school degree","West South Central",3306451916
"Intermediate","Some","2","4","3","3",,"4",,,"3",,,,"4","4","5",,"5",,"2","5",,"2","4","4",,"4","4",,"5","4","3",,"5","4","3","4","4","4","3","4","Male","> 60","$150,000+","Graduate degree","East North Central",3306451836
"Novice","Not much",,,,,,,,,,,,,"4","3","3",,"3",,,"4",,,"3","3",,,,,,,"4",,"4",,,,,,,"3","Female","45-60","$25,000 - $49,999","Some college or Associate degree","South Atlantic",3306451655
"Intermediate","Some",,"2","4","3",,"2",,"2",,,"3",,"3","5","5",,"5",,"2","4",,"1","2","5",,"4","3","3","5","4","5",,"5","3","3","3",,,"2","4","Female","30-44","$0 - $24,999","Graduate degree","East North Central",3306451529
"Intermediate","A lot",,"2",,,,,,,,,,"4","2","4","2",,"3",,,"5",,"4","5","2",,,"2","3","3","2","4","3","4","4","5",,"5","4","4","3","Female","45-60","$150,000+","Bachelor degree","Pacific",3306451107
"Novice","Not much",,"4","4","3",,,,"2","4","3",,"3","3","3","4",,"3",,,"4",,"5","4",,,,,"2","3","3","4",,"5",,"3",,"3",,"3","4","Male","45-60",,"High school degree","East North Central",3306450657
"Intermediate","Some",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3306450393
"Novice","Not at all",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5",,,,,,,,,,"Female","18-29","$25,000 - $49,999","High school degree","Middle Atlantic",3306450258
"Intermediate","Some",,,,,,,,,,,,,,"3",,,"4",,,"4",,"5","5",,,,,,,,"5",,"3",,,,,,,,"Female","18-29","$0 - $24,999","Some college or Associate degree","East North Central",3306450219
"Intermediate","Some",,,,"3",,"3",,,,,,,"3",,"3",,,,,"4",,,"4",,,,,,"3",,"4",,"3","3",,,"3",,,"3","Female","30-44","$0 - $24,999","Bachelor degree","Middle Atlantic",3306450208
"Novice","Some",,,,,,"3",,,,,,,"2","4","3",,"4",,,"5",,"4","4",,,,"2",,"4",,"4",,"4","3","3",,"3",,,"3","Female","30-44","$100,000 - $149,999","Bachelor degree","East North Central",3306449880
"Intermediate","Some",,"5",,,,,,,,,,,"2","5","2",,"5",,,"5",,"2","5",,,,,,"4",,"3",,"3","4","3",,"5",,"4","3","Female","45-60","$50,000 - $99,999","Graduate degree","Pacific",3306449104
"Novice","Some",,,,,,,,,,,,,,"4",,,,,,"4",,"4","4",,,,,,"4",,"5",,"4","3",,,,,,,"Female","45-60","$100,000 - $149,999","Some college or Associate degree","Pacific",3306448797
"Advanced","Some",,"4",,,,"4",,"3","3",,,"4","2","2","4",,"4",,,"4",,"3","4",,,,,"3","3",,"5",,"3","3","3",,"2",,"2","3","Female","45-60","$50,000 - $99,999","Bachelor degree","Pacific",3306448713
"Intermediate","A lot",,,"3",,,"4",,,,,,,"3","4","3",,"5",,"4","5",,"5","4",,,,"2",,"2","3","3",,"5","3","4","4",,,"3","4","Female","30-44",,"Graduate degree","West South Central",3306448529
"Novice","Some",,,,"5",,,,,,,,,"5","5","5",,,,,"5",,,"5",,,,,"1",,"5","5",,"3","1","3",,,,,"2","Female","18-29","$50,000 - $99,999","Bachelor degree","Pacific",3306448439
"Novice","Not at all",,,"1",,,,,,,,,,,,"2",,,,,"5",,,,,,,,,,,"5",,"3",,,,,,"2",,"Female","> 60",,"Bachelor degree","East North Central",3306448338
"Intermediate","Some",,,,,,,,,,,,,"3","4","3",,"3",,,"5",,"3","3","3",,,,,"3",,"3",,"2",,"3",,"3",,,"2","Female","> 60",,"Some college or Associate degree","Middle Atlantic",3306448293
"Intermediate","Some",,,,,,,,,,,,,"2","1","2",,"4",,"3","5",,"3","5",,,"3",,,"3","3","5",,"4","3","4",,"3",,,"2","Female","45-60","$25,000 - $49,999","Some college or Associate degree","Pacific",3306448099
"Novice","Some",,,,,,,,,,,,,"1",,"3",,"5",,,"5",,"4","4",,,,,,,,"4",,"3","3","4","4","3",,,"1","Female","30-44","$150,000+","Bachelor degree","Middle Atlantic",3306447836
"Novice","Not at all",,,,,,,,,,,,,,,,,,,,"4",,"3",,,,,,"3",,,"4",,"3",,"3",,,,,,"Female","> 60","$25,000 - $49,999","High school degree","Middle Atlantic",3306447620
"Advanced","A lot",,,"4",,,"4",,,,,,,"3","5","4",,"5",,,"5",,"5","3",,,"4","4","4","4","3","4",,"4","2","5","4","3","3","3","3","Female","18-29","$25,000 - $49,999","Bachelor degree","Middle Atlantic",3306447530
"Novice","Some",,,"4",,,,,,,,,,"3","4","3",,"4",,,"5",,"2","4",,,,,,"3",,"4",,"4","3","4",,"5",,,"2","Female","45-60","$100,000 - $149,999","Graduate degree","South Atlantic",3306447287
"Advanced","A lot",,,,,,"3",,"4",,,"4",,"3","3","4",,"4",,,"4",,"4","3","2",,"4","4","4","3","2","2","3","4","2","3","3","3","4","3","3","Female","45-60","$100,000 - $149,999","Bachelor degree","East South Central",3306447104
"Novice","A lot",,,,,,,,,,,,,"3","4","3",,"4",,,"4",,"4","4",,,,,"4","4",,"5",,"4","3","4",,,,"4","3","Female","> 60","$50,000 - $99,999","Some college or Associate degree","South Atlantic",3306446775
"Novice","Some",,,,,,,,,,,,,,,,,,,,,,"3","4",,,,,,,,"5",,"4",,,,,,,,"Female","45-60","$25,000 - $49,999","High school degree","South Atlantic",3306446769
"Novice","A lot",,,,,,,,,,,,,,,,,,,,,,"4","3",,,,,,"3",,"2",,"4","3","3",,,,,"2",,,,,,3306446600
"Intermediate","A lot",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3306446585
"Novice","Not much",,,,,,,,,,,"2",,"4","4","4",,"4",,,"4",,"3","3",,,,,,,,"4",,,,,,,,,"4","Male","45-60","$50,000 - $99,999","Some college or Associate degree","West North Central",3306446068
"Intermediate","Some","1",,"3",,,"4",,,"3","2",,,"4","4",,"1","4",,"1","4",,"4","4",,"3","3","3","2","3",,"5",,"4",,"2","1","2",,,"3","Female","45-60",,"High school degree","East North Central",3306445925
"Intermediate","Some",,,,"3",,,,,,,,,"3","4","4",,"4",,,"4",,"4","3",,,,,,"4","3","3",,"4","4","4",,"4",,"4",,"Female","> 60","$100,000 - $149,999","Graduate degree","East South Central",3306445773
"Intermediate","A lot",,,,,,,,,,"3",,"3",,,,,"3",,,,,,"3",,,,,,,,"5",,,"4",,,,,,,"Female","30-44",,"Graduate degree","South Atlantic",3306445653
"Novice","Not at all",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3306445571
"Intermediate","A lot",,,,,,"5",,,"5","2",,"5",,"4","3",,"5","3","4","4",,"5","4",,,,,"4","5",,"4",,"4","5","5",,"4",,"4",,"Female","45-60","$50,000 - $99,999","Graduate degree","Pacific",3306445569
"Novice","Not much",,,,,,,,,,,,,"3","2",,,"3",,,"4",,"3","4",,,,,,,,"4",,"3",,,,,,,,"Female","> 60","$150,000+","Some college or Associate degree","Pacific",3306445236
"Novice","Not much",,,,,,,,,,,,,"2","2","3",,"3",,,"3",,,"3",,,,,,,,"5",,"3",,"3",,,,,,"Female","> 60","$50,000 - $99,999","Bachelor degree","South Atlantic",3306445000
"Intermediate","Some","3","3",,,,,,"3",,,,"3","3","4","3",,"4",,"3","4",,"3","3","3",,"3","3",,"4",,"4",,"3","3",,"3","3",,"3","4","Female","45-60","$25,000 - $49,999","Graduate degree","New England",3306443988
"Novice","Some",,,,,,,,,,,,,"3","4","3",,"3",,,"4",,"3","4",,,"4",,,"4","4","4",,"3","2",,,,,,"3","Male","> 60","$50,000 - $99,999","Bachelor degree","West North Central",3306443892
"Novice","Some",,,,,,,,,,,,,"4","4",,,"3",,,"4",,"4","4",,"4",,,"3","3",,"5",,"4","3",,,"3","3",,,"Male","45-60","$50,000 - $99,999","Some college or Associate degree","West South Central",3306443874
"Advanced","A lot",,"4","3",,,"3",,,,,,"3","3","3","4",,"4",,,"4",,"5","4","4",,"4","2",,"3","4","3",,"4","5","4",,"5",,"4","3","Female","30-44","$50,000 - $99,999","Bachelor degree","New England",3306443845
"Novice","Not much",,,"4",,,"3",,,,,,,"4","3","5",,"3",,,"5",,"3","4",,,,"2",,"4",,"5",,"4","1","3",,"3",,"3","3","Female","30-44","$100,000 - $149,999","Bachelor degree","West North Central",3306443744
"Intermediate","A lot",,,,"4",,,,,,"4",,,"3","3","3",,"5",,,"5",,"5","5",,,,,,"5",,"5",,"5","3","5",,"4",,"3",,"Female","30-44","$100,000 - $149,999","Graduate degree","Middle Atlantic",3306443601
"Intermediate","A lot",,,,,,"4","5","5","4","5",,,"4","4","4",,"5",,"5","5",,"4","5",,"5","3",,"5",,,"5",,"5","5","5","4","4","4","4",,"Female","45-60","$50,000 - $99,999","Graduate degree","West South Central",3306443553
"Intermediate","Some",,,,,,"4",,"4",,,,,"3","4","4",,"4",,,"4",,"4","5",,"4","4",,,"5","3","4",,"4","5","5","4","4","3","4","2","Male","> 60","$150,000+","Graduate degree","East North Central",3306442941
"Advanced","A lot",,"4",,"4",,,,,,,,,"2","5","3",,"5",,,"5",,"2","4","2",,"4","3","4","4","4","5",,"5","5","5","4","5","3","5","3","Female","45-60",,"Graduate degree","East North Central",3306441987
"Intermediate","Some",,"4",,,,"3",,,"4","3","3",,"2","3","2",,"4","4",,"5",,,"5",,,,"4","3","4",,"3",,"2","2","2","5","4",,,"3","Female","30-44","$50,000 - $99,999","Graduate degree","East North Central",3306441968
"Novice","Some",,"3","3","3",,,,,"3",,,,"3","3","3",,"3",,,"4",,"3","4","3",,,,,"3",,"4",,"2","2",,,"3",,"3","3","Female","> 60","$50,000 - $99,999","Some college or Associate degree","West South Central",3306441838
"Expert","A lot",,"5","4","5",,"4",,"5","4","4",,"3","4","4","4",,"5","3",,"5","3","4","3","4","2","5",,"3","5","5","4","3","3","4","3","3","5","3","3","2","Female","> 60",,"Graduate degree","Mountain",3306441827
"Intermediate","Some",,"3","3",,,,,,,,,,"3","4","4",,"4",,,"5",,"3","3",,,,"3",,"3",,"3",,"3","3","3","3",,,,,"Male","> 60","$50,000 - $99,999","Bachelor degree","East North Central",3306441817
"Intermediate","A lot",,,,,"2","2",,,,,,,"2","4","3",,"3",,,"5",,"3","4",,,"3","3",,"4","3","5",,"3","3",,,"3","2","3","2","Female","> 60","$25,000 - $49,999","High school degree","West North Central",3306441468
"Intermediate","A lot",,"4","3","3",,,,"4","4","4",,"4","5","4","4",,"5","5",,"5",,"5","4","3","3","4","4","4","4","3","2",,"4","5","5","4","3","4","5","3","Female","30-44","$50,000 - $99,999","Graduate degree","West South Central",3306441221
"Novice","Some","4","5","4","4",,"5",,"4","4","4",,"4","5","5","5","4","5","4","4","5","4","5","5","4","4","5","4","5","5","4","5","4","5","5","5","4","5","4","5","4","Female","> 60","$150,000+","Some college or Associate degree","West South Central",3306441146
"Intermediate","A lot",,"4",,,,,,,"3",,,"4","3","5","3","4","5",,,"5",,"5","5",,,,"2","4","5",,"5",,"4","5","5",,"4",,"4","3","Female","30-44","$25,000 - $49,999","Graduate degree","Mountain",3306440989
"Intermediate","Some",,,"3",,,,,,,,,,"4","3","5",,"5",,,"5",,"2","4",,,,,,"3",,"4",,"4","3",,,"3",,,"4","Female","45-60",,"Bachelor degree","East South Central",3306440925
"Intermediate","Some",,"3",,"4",,"3",,,,,,,"2","5","4",,"4",,,"4",,,"4",,,,,,,"4","4",,"4","3","3","3",,,"3","3",,,,,,3306440874
"Advanced","Some","2",,"3","2",,"3",,,"2","3",,,"3","4","3",,"5",,,"4",,"4","3",,,,"3","2","2",,"4",,"3","3","4",,"4",,"2","4","Female","30-44","$150,000+","Some college or Associate degree","South Atlantic",3306440380
"Novice","Some",,,,"3",,,,,,,,,"3","4","3",,,,,"5",,"3","3","3",,,,,"3",,"3",,"4",,"3",,,,,,"Female","> 60","$50,000 - $99,999","Some college or Associate degree","South Atlantic",3306440274
"Novice","Not much",,,"3",,,,,,,,,,"4","3","5",,"3",,,"3",,"3","3",,,,,,,,"3",,"3",,"3",,"3",,,"3","Female","45-60","$0 - $24,999","Less than high school degree","West South Central",3306440215
"Intermediate","Not much",,,,,,,,,,,,,"3",,,,,,,"4",,"3","3",,,,,,,,"4",,"4",,,,,,,,"Male","> 60",,"Graduate degree","Pacific",3306439775
"Novice","A lot",,,,,,,,,,,,,,,,,,,,,,"4",,,,,,,"3",,"4",,"4",,"4",,,,,,,,,,,3306439190
"Intermediate","Some",,"5",,,,"3",,,"4","3",,,"4","5","4",,"4",,,"5",,"4","4",,,,"3",,"4",,"5","5","4","5","4",,"4",,"5",,"Male","45-60",,"Graduate degree","West South Central",3306438888
"Intermediate","Some",,"3","4","4",,,,,,,,,"4","3","4",,"5",,,"4",,"4","4","4",,"3","3",,"4","5","4",,"4","2","3","3","3",,,"3","Female","> 60",,"Bachelor degree","Mountain",3306438281
"Intermediate","A lot","3","3","3","3","3","3","3","3","3","3","3","3","2","4","3","3","4","3","3","4",,"3","4","3","3","4",,"3","3","3","4","3","3",,"3","3","4",,"4","2","Male","> 60","$25,000 - $49,999","Some college or Associate degree","Mountain",3306438014
"Novice","Some",,,,,,,,,,,,,"3","3","3",,"3",,,"5",,"3","3",,,,,,,"3","4",,"4","3","3",,"3",,,"3","Female","30-44","$50,000 - $99,999","Some college or Associate degree","Pacific",3306437843
"Intermediate","Some",,,,,,,,,,"4",,,"3","3","3",,"4",,,"5",,"5","5",,,,,,,,"4",,"2","4","5",,"3",,"5","4","Female","18-29","$25,000 - $49,999","Some college or Associate degree","New England",3306435606
"Novice","Not much",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3306435565
"Intermediate","Some",,,,,,"3",,"4","3",,,,,,,"1","5",,,"4",,,"4",,,,,"3",,,,,"1",,,,,,,,"Female","18-29","$0 - $24,999","Some college or Associate degree","East North Central",3306434705
"Novice","Some",,,,,,,,,,,,,,,,,"4",,,"4",,,"5",,,,,,,,"4",,,"4","4",,,,,,"Female","30-44","$50,000 - $99,999","Some college or Associate degree","Mountain",3306434409
"Novice","Some",,,,,,,,,,,,,"4","4","5",,"5",,,"5",,"5","4",,,,"4",,,"4","5",,"5","3",,,"3",,,"4","Female","> 60","$150,000+","Some college or Associate degree","Middle Atlantic",3306434283
"Novice","Not much","2","3","4","3","2","3","2","3","3","3","2","2","4","3","3","2","3","3","2","3","2","3","3","2","2","3","3","1","3","3","4","2","3","1","1","2","3","2","2","2","Male","> 60","$25,000 - $49,999","Some college or Associate degree","East North Central",3306432943
"Novice","A lot","4","4","3",,,"4",,"4","4","4",,"4","2","4",,"4","4","4","4","3",,"4","4",,,,,,,,"3","4",,"4","4","4","4","4","4",,"Female","18-29","$0 - $24,999","Bachelor degree","Mountain",3306432910
"Novice","Not much",,,,"4",,,,,,,,,"2","5","4",,"4",,,"4",,,"4","3",,,,,"4","4","4",,"4","3","3",,"3",,"3","3","Male","> 60","$150,000+","Graduate degree","Mountain",3306430769
"Novice","Not much",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3",,,,,,,,,,"Male","> 60","$25,000 - $49,999","Graduate degree","East North Central",3306430644
"Intermediate","Some",,,"3",,,,,"3",,,,,"3","3","4",,"4",,,"5",,"3","5","5",,,"3","4","5","5","5",,"5",,,,"3",,,"4","Female","45-60","$25,000 - $49,999","Some college or Associate degree","Pacific",3306430623
"Advanced","A lot","5","4","2","2",,"3",,"3","3","4",,"4","3","5","2",,"5",,"4","5",,"5","4",,,"4","4","4","5",,"3",,"5","5","5",,"4","4","5","4","Female","45-60","$25,000 - $49,999","Bachelor degree","South Atlantic",3306430368
"Intermediate","Some",,,,,,,,,,,,,"3","3",,,"4",,,"4",,"4","4",,,,,,"5",,"5",,"4","3",,,,,,,"Female","30-44","$50,000 - $99,999","Graduate degree","West South Central",3306429859
"Intermediate","Some",,,,,,,,"3",,"3",,"3","2","3",,,"2","3","2","4",,"2","4",,,,"2","3","4",,"4",,"3","2","1",,"3",,"1","2","Female","18-29","$150,000+","Some college or Associate degree","Middle Atlantic",3306427828
"Novice","Not much",,,"3",,,,,,,,,,"2",,"2",,,,,"4",,"2","4",,,,,,,,"4",,"1","1","1",,,,"1",,"Male","45-60",,"Bachelor degree","South Atlantic",3306427597
"Intermediate","Some","2","3","3",,,"3",,"4",,,,,"2","4","4",,"4",,,"5",,"3","5",,,"4","4","4","5",,"5","3","4","4","4",,"3","2","3","4","Male","> 60",,"Bachelor degree","Middle Atlantic",3306427286
"Intermediate","Some",,"3","2",,,"4",,"3",,"4",,"4","2","4","3",,"4","3",,"5",,"4","5","3",,,"2",,"3","2","3",,"4","5","5",,"4","4","4",,"Male","45-60","$25,000 - $49,999","Bachelor degree","Mountain",3306427060
"Novice","Some",,,,,,,,,,,,,,,,,,,,"5",,,"2",,,"4","3",,,,"2",,"3",,,,,,,"3","Female","18-29",,"Some college or Associate degree","Middle Atlantic",3306426592
"Novice","Not at all",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3306426399
"Novice","Not at all",,,,,,,,,,,,,"3","3",,,"2","2",,"4",,"3","3",,,,,,,,"3",,"3","1",,,,,,"3","Male","30-44","$100,000 - $149,999","Some college or Associate degree","West South Central",3306425713
"Intermediate","Some",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3306425679
"Novice","A lot",,,"4",,,"4",,"4","3","3",,,"2","5","2",,"4",,,"5",,"3","3","4",,,,,"4",,"5",,"3","3",,,"4","3","2",,"Female","18-29",,"Some college or Associate degree","West South Central",3306425367
"Novice","Some",,,,,,,,,,,,,,"3","4",,"3",,,"4",,"4","4",,,,,,,,"4",,"5","3",,,,,"3","3","Male","30-44","$25,000 - $49,999","Bachelor degree","West South Central",3306425202
"Intermediate","A lot",,"4","3","4",,"4",,"4","3","3",,,"3","5","4",,"5",,,"5",,"4","5","3",,"3",,"4","4","4","4",,"4","3","4","3","3",,"3","3","Female","45-60",,"Bachelor degree","East North Central",3306424441
"Intermediate","Some",,"3",,"3",,"3",,,,,,,"3","3","3",,"3",,,"4",,"4","3",,,"3",,"3","3","3","4",,"4","2","3",,"3",,"3","3","Male","> 60","$150,000+","Bachelor degree","Middle Atlantic",3306424409
"Novice","Some",,,,,,,,,,,,,,,,,,,,,,"3","3",,"3",,,,,,,,,,,,,"3",,,,,,,,3306424292
"Novice","A lot",,,,,,,,,,,,,"3","4","2",,"5",,,"5",,"5","5",,,,,"3","5",,"4",,"4","2","4",,"4",,"3","3","Female","45-60",,"Some college or Associate degree","West South Central",3306423577
"Advanced","A lot",,"4",,"3",,"4",,,,"3",,,"4","5","3",,"4","3",,"4",,"5","3","3",,,"3","4","4",,"3",,"4","5","4",,"4",,"4","3","Male","> 60","$150,000+","Graduate degree","West South Central",3306423149
"Intermediate","A lot",,,,"3",,,,,,,,,"3","5","4",,"4",,"4","5",,"5","5",,,,"4",,"5","3","5",,"5","5","4","4","4",,"4","3","Female","30-44","$150,000+","Bachelor degree","Pacific",3306422662
"Intermediate","Some",,"4","3",,,"5",,"3","3",,,"3","2","3","4",,"4",,"3","4",,"4","3","3",,"4","3","2","3","3","4",,"4","4","4","3","5","2","2","3","Female","30-44","$150,000+","Bachelor degree","West South Central",3306421713
